,lmin,wmin,temp,supply,cqload,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p
0,49.444489151051734,242.91917531034753,46.31943036830701,0.9208564176048791,3.633044329246219,1.2237775242828604e-09,1.2393459725255637e-09,1.289135107466761e-09,1.049570630998133e-09,1.4661278850626429e-08,3.31601593633468e+18,1.3263215520831083e-09,1.2212325459387412e-09,1.3081668261409218e-09,1.0230375799601109e-09,1.3962163875512708e-08,2.464690692734567e+18
1,48.04966124317526,256.172308281358,14.319261619886774,1.0818932309610494,0.8892947610171952,1.1818891643817094e-09,1.258097882089817e-09,1.251744592814224e-09,9.70309194151141e-10,1.3178166679199457e-08,3.047291549123158e+18,1.2598594605565436e-09,1.249664201897556e-09,1.2408698328793648e-09,1.0212275532947808e-09,1.442167018655808e-08,2.5140090656730803e+18
2,48.71539487241741,254.14691331642052,106.23708058989943,1.018590355415198,2.474883222926393,1.268902860457433e-09,1.2368506743696716e-09,1.2776114414184358e-09,9.885236353521978e-10,1.352404281739331e-08,3.3042221098708337e+18,1.2763598121163973e-09,1.247050519734021e-09,1.3322030779914749e-09,9.686016033879484e-10,1.4423567059924333e-08,2.356263487521861e+18
3,47.428156787111305,251.80000020250893,78.64052841711373,0.9667276961912747,2.2362747819976034,1.192485409118087e-09,1.2120463761318964e-09,1.2649513046038644e-09,9.479985466178861e-10,1.4715578504499635e-08,3.2321928571651154e+18,1.2712908029240395e-09,1.3056139937730745e-09,1.290028764115404e-09,1.0324053208209722e-09,1.4423622138273818e-08,2.2510764228963471e+18
4,44.33584380288686,248.09952764841628,97.16663016566308,1.0784664580513137,2.2711784260130203,1.1922572518415182e-09,1.207501408186172e-09,1.2971355233429287e-09,1.027112156986623e-09,1.4244669123015427e-08,3.293525030497375e+18,1.2984985628162133e-09,1.255980244385676e-09,1.2528566130749895e-09,9.542774870278593e-10,1.2667896379793627e-08,2.404724576811896e+18
5,45.554004932761025,260.05169757391917,89.82506769226336,1.079020917447139,0.6172031320788172,1.2312248637319072e-09,1.270021994810422e-09,1.2924870569439859e-09,1.0217154844958656e-09,1.3871668872064184e-08,3.418381936406849e+18,1.2784534664902495e-09,1.3123254261697806e-09,1.299407806923797e-09,9.835426391832608e-10,1.4217269130270998e-08,2.419857923414266e+18
6,46.16299353274641,235.4327929627588,-31.238427342955447,0.9834929125246177,2.8580990637721726,1.3007048581919885e-09,1.285140993405254e-09,1.1720686430058856e-09,1.0145169782918496e-09,1.3723322350567827e-08,3.2442306349086095e+18,1.2590310225061016e-09,1.3057617497213826e-09,1.2917981700151338e-09,1.0449395270703516e-09,1.3891994230447161e-08,2.420818707357389e+18
7,47.4454591391905,233.4038935232147,67.68344178220306,0.9777957013646705,2.4106669356354704,1.2537201389614488e-09,1.295343385894853e-09,1.2361522746099542e-09,1.0358006575661035e-09,1.3555483254174464e-08,3.3056571977497687e+18,1.256883509256593e-09,1.2791572196858266e-09,1.3593767956844558e-09,1.1218469345012617e-09,1.445362437321575e-08,2.33765590143801e+18
8,45.60469469245741,238.25304741508174,-13.67771643692759,0.9636599828555528,2.024443505181928,1.291096913974814e-09,1.2311444179996583e-09,1.223242446631789e-09,9.666853553871017e-10,1.4239258534613938e-08,3.034309847038846e+18,1.294591904960581e-09,1.2447807330264633e-09,1.3420857427230293e-09,1.0021873902841394e-09,1.4087984886958623e-08,2.434952001590267e+18
9,47.672078084779216,255.15921194524657,90.5443353802316,1.0429247258522174,0.9726803349010644,1.289070753358332e-09,1.2327187911480523e-09,1.225732402621382e-09,9.949177549998653e-10,1.4970881798657176e-08,3.1964504014377247e+18,1.2645085840398021e-09,1.3141821635012277e-09,1.2083589196691868e-09,9.933283169390625e-10,1.3367111852148656e-08,2.437843235158803e+18
